RandomSeed,TestSet,Data,Accuracy,AUROC,F1,Precision,Recall,MCC,Classifier
0,1,alldataonelevel,0.9609375,0.8953703703703703,0.8648648648648649,0.9411764705882353,0.8,0.8460091120621586,tpotdefault
0,2,alldataonelevel,0.946969696969697,0.8772727272727273,0.8292682926829268,0.8947368421052632,0.7727272727272727,0.8010821744425441,tpotdefault
1,1,alldataonelevel,0.9375,0.8407407407407408,0.7777777777777778,0.875,0.7,0.7481900559272088,tpotdefault
1,2,alldataonelevel,0.9848484848484849,0.9727272727272728,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9454545454545454,tpotdefault
2,1,alldataonelevel,0.9453125,0.8657407407407407,0.8108108108108109,0.8823529411764706,0.75,0.7826079608069149,tpotdefault
2,2,alldataonelevel,0.9696969696969697,0.9272727272727274,0.9047619047619048,0.95,0.8636363636363636,0.8882165115716839,tpotdefault
3,1,alldataonelevel,0.953125,0.9111111111111111,0.85,0.85,0.85,0.8222222222222222,tpotdefault
3,2,alldataonelevel,0.9696969696969697,0.9454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8909090909090909,tpotdefault
4,1,alldataonelevel,0.921875,0.7907407407407407,0.7058823529411765,0.8571428571428571,0.6,0.676466540498492,tpotdefault
4,2,alldataonelevel,0.9242424242424242,0.8272727272727273,0.75,0.8333333333333334,0.6818181818181818,0.7108186533109109,tpotdefault
5,1,alldataonelevel,0.953125,0.9111111111111111,0.85,0.85,0.85,0.8222222222222222,tpotdefault
5,2,alldataonelevel,0.9545454545454546,0.9181818181818182,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8363636363636363,tpotdefault
6,1,alldataonelevel,0.96875,0.9203703703703704,0.8947368421052632,0.9444444444444444,0.85,0.8781250644876313,tpotdefault
6,2,alldataonelevel,0.9545454545454546,0.8636363636363636,0.8421052631578947,1.0,0.7272727272727273,0.8304547985373997,tpotdefault
7,1,alldataonelevel,0.9453125,0.825,0.7878787878787878,1.0,0.65,0.781303259054188,tpotdefault
7,2,alldataonelevel,0.9545454545454546,0.9,0.8571428571428571,0.9,0.8181818181818182,0.8315218406202999,tpotdefault
8,1,alldataonelevel,0.9609375,0.8953703703703703,0.8648648648648649,0.9411764705882353,0.8,0.8460091120621586,tpotdefault
8,2,alldataonelevel,0.946969696969697,0.8590909090909091,0.8205128205128205,0.9411764705882353,0.7272727272727273,0.7990403451301943,tpotdefault
9,1,alldataonelevel,0.9375,0.861111111111111,0.7894736842105263,0.8333333333333334,0.75,0.7543365091413573,tpotdefault
9,2,alldataonelevel,0.9318181818181818,0.8863636363636365,0.8,0.782608695652174,0.8181818181818182,0.7592009739635296,tpotdefault
